--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ ALTA - RS (OMM: 83912)
Latitude  (graus) : -28.63
Longitude (graus) : -53.6
Altitude  (metros): 472.50
Estação Operante
Inicio de operação: 02/02/1912
Periodo solicitado dos dados: 01/01/1961 a 19/09/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoInsolacao;
83912;29/03/1961;0000;;21;17;26.6;;66;964.4;9;3;;
83912;29/03/1961;1200;0;15.6;12.4;;12;68;966.6;5;5;;
83912;29/03/1961;1800;;25.2;17;;;41;963;5;3;;
83912;30/03/1961;0000;;22.4;16.6;27.2;;54;963;0;0;;
83912;30/03/1961;1200;0;17.4;14.2;;13.2;70;964.6;5;3;;
83912;30/03/1961;1800;;26.2;17.8;;;41;963;5;1;;
83912;31/03/1961;0000;;22.2;16.4;27.2;;53;961.6;0;0;;
83912;31/03/1961;1200;0;16.6;14;;13.2;75;960.4;5;5;;
83912;31/03/1961;1800;;26.6;18;;;41;958.8;32;2;;
83912;01/04/1961;0000;;23.2;17.8;24.4;;57;958.2;0;0;;
83912;01/04/1961;1200;0;18.4;15.2;;16.8;71;958.3;36;1;;
83912;01/04/1961;1800;;24;18.4;;;57;957.4;32;2;;
83912;02/04/1961;0000;;21.6;18;27.8;;70;956.7;0;0;;
83912;02/04/1961;1200;0;18;15.8;;15;78;957.6;0;0;;
83912;02/04/1961;1800;;25.2;18.2;;;49;954.7;0;0;;
83912;03/04/1961;0000;;22.6;18.2;25.2;;65;953.4;0;0;;
83912;03/04/1961;1200;0;16.4;15;;14.8;85;953;5;2;;
83912;03/04/1961;1800;;23.6;20.2;;;72;950.7;32;5;;
83912;04/04/1961;0000;;20;18;26.2;;81;950;32;3;;
83912;04/04/1961;1200;6;15.6;14.4;;14.4;87;951.6;14;1;;
83912;04/04/1961;1800;;24.2;18.6;;;58;950.7;0;0;;
83912;05/04/1961;0000;;21.6;18.4;28.8;;72;952.8;0;0;;
83912;05/04/1961;1200;0;15.6;14;;14.4;83;956.3;5;3;;
83912;05/04/1961;1800;;27;20.4;;;53;956.2;32;1;;
83912;06/04/1961;0000;;22.2;17.8;24.6;;64;958.6;23;1;;
83912;06/04/1961;1200;0;14.2;12.4;;12;81;965.1;14;2;;
83912;06/04/1961;1800;;23.4;16.4;;;46;964.2;9;3;;
83912;07/04/1961;0000;;18.8;15.6;29.2;;71;964.3;14;5;;
83912;07/04/1961;1200;0;13.6;12;;10.6;83;965.4;5;1;;
83912;07/04/1961;1800;;28.4;19.6;;;42;963;5;2;;
83912;08/04/1961;0000;;24.2;17.8;28.2;;51;960.3;0;0;;
83912;08/04/1961;1200;0;18.4;14.8;;16.4;67;961.1;5;5;;
83912;08/04/1961;1800;;27.2;21;;;56;958.7;27;2;;
83912;09/04/1961;0000;;24;20.4;25.6;;71;958.7;0;0;;
83912;09/04/1961;1200;0;19;17.4;;17.8;84;962.8;14;1;;
83912;09/04/1961;1800;;25;20.6;;;67;961.2;0;0;;
83912;10/04/1961;0000;;23;20;23;;75;961.4;0;0;;
83912;10/04/1961;1200;23.3;18.8;17.8;;17;90;961.5;14;3;;
83912;10/04/1961;1800;;19;18;;;90;959.5;14;2;;
83912;11/04/1961;0000;;18.8;18;20.2;;92;958.8;0;0;;
83912;11/04/1961;1200;57.1;18.6;17.4;;16.4;88;955.4;5;5;;
83912;11/04/1961;1800;;18.2;17.2;;;90;953.6;32;5;;
83912;12/04/1961;0000;;17;16;22.4;;90;955;32;2;;
83912;12/04/1961;1200;40.2;18.6;17.8;;16.8;92;953.8;0;0;;
83912;12/04/1961;1800;;21.4;18.8;;;78;955.6;32;3;;
83912;13/04/1961;0000;;19;17.6;23;;86;955.1;32;3;;
83912;13/04/1961;1200;37;18.4;17.8;;17;94;955.8;0;0;;
83912;13/04/1961;1800;;22.2;20.2;;;83;954.3;23;1;;
83912;14/04/1961;0000;;19.8;18.8;21.2;;91;959;27;2;;
83912;14/04/1961;1200;0;18;17.4;;17.2;94;961.8;14;3;;
83912;14/04/1961;1800;;20.8;19.4;;;87;960.3;14;1;;
83912;15/04/1961;0000;;19.4;18.6;20;;92;961;9;2;;
83912;15/04/1961;1200;8.9;18;17.2;;17;92;961.8;14;3;;
83912;15/04/1961;1800;;19.6;18;;;85;960.3;14;3;;
83912;16/04/1961;0000;;17.8;16.6;28.4;;88;960.4;9;2;;
83912;16/04/1961;1200;1.7;19.2;18.2;;15;90;961.9;5;1;;
83912;16/04/1961;1800;;27;21.6;;;61;958.8;32;3;;
83912;17/04/1961;0000;;24.6;21.6;24.8;;76;960.3;0;0;;
83912;17/04/1961;1200;5.6;20.2;19.2;;18.4;91;960.3;32;1;;
83912;17/04/1961;1800;;20.2;19.4;;;92;958.6;14;1;;
83912;18/04/1961;0000;;19;18;23.8;;90;959;0;0;;
83912;18/04/1961;1200;33.3;18.4;17.6;;16.6;92;961.1;23;1;;
83912;18/04/1961;1800;;23.4;18.6;;;63;959.9;14;5;;
83912;19/04/1961;0000;;17;15;20.4;;80;961.6;14;2;;
83912;19/04/1961;1200;0.5;13.2;11.6;;9.6;83;964.6;14;5;;
83912;19/04/1961;1800;;20;14.2;;;51;963.2;14;3;;
83912;20/04/1961;0000;;16.2;13;22.4;;68;963.4;14;2;;
